             t,          Mass,      FuelMass,       Aileron,      Elevator,        Rudder,        Throttle,         alpha,          beta,             V,             u,             v,             w,             p,             q,             r,           Phi,         Theta,           Psi,         Gamma,             h,             T,             x,             y,             z,         Power,      PowerMax,           rpm
+0.0000000000e+000, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988830e+000, +0.0000000000e+000, +5.5000000000e+001, +5.4960401948e+001, +0.0000000000e+000, +2.0866761722e+000, +0.0000000000e+000, +5.5926589189e-008, +0.0000000000e+000, +0.0000000000e+000, +2.1742988830e+000, +0.0000000000e+000, -1.1899902464e-016, +3.0000000000e+003, +6.5066180382e+002, +5.5000000000e-001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988835e+000, +0.0000000000e+000, +5.4999999998e+001, +5.4960401946e+001, +0.0000000000e+000, +2.0866761731e+000, +0.0000000000e+000, +1.0996218932e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988836e+000, +0.0000000000e+000, -4.6852241064e-010, +3.0000000000e+003, +6.5066180382e+002, +1.1000000000e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+2.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988845e+000, +0.0000000000e+000, +5.4999999996e+001, +5.4960401944e+001, +0.0000000000e+000, +2.0866761744e+000, +0.0000000000e+000, +1.6198762622e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988847e+000, +0.0000000000e+000, -9.1671677446e-010, +3.0000000000e+003, +6.5066180382e+002, +1.6499999999e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+3.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988860e+000, +0.0000000000e+000, +5.4999999994e+001, +5.4960401942e+001, +0.0000000000e+000, +2.0866761763e+000, +0.0000000000e+000, +2.1189972909e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988863e+000, +0.0000000000e+000, -1.3262173469e-009, +3.0000000000e+003, +6.5066180382e+002, +2.1999999999e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+4.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988880e+000, +0.0000000000e+000, +5.4999999992e+001, +5.4960401940e+001, +0.0000000000e+000, +2.0866761785e+000, +0.0000000000e+000, +2.5961079010e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988884e+000, +0.0000000000e+000, -1.6799817321e-009, +3.0000000000e+003, +6.5066180382e+002, +2.7499999998e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+5.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988904e+000, +0.0000000000e+000, +5.4999999990e+001, +5.4960401938e+001, +0.0000000000e+000, +2.0866761811e+000, +0.0000000000e+000, +3.0504799057e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988910e+000, +0.0000000000e+000, -1.9622831092e-009, +3.0000000000e+003, +6.5066180382e+002, +3.2999999997e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+6.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988932e+000, +0.0000000000e+000, +5.4999999988e+001, +5.4960401936e+001, +0.0000000000e+000, +2.0866761840e+000, +0.0000000000e+000, +3.4815279934e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988940e+000, +0.0000000000e+000, -2.1586951385e-009, +3.0000000000e+003, +6.5066180382e+002, +3.8499999996e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+7.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988963e+000, +0.0000000000e+000, +5.4999999986e+001, +5.4960401934e+001, +0.0000000000e+000, +2.0866761873e+000, +0.0000000000e+000, +3.8888034446e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988975e+000, +0.0000000000e+000, -2.2560770888e-009, +3.0000000000e+003, +6.5066180382e+002, +4.3999999994e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+8.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988998e+000, +0.0000000000e+000, +5.4999999984e+001, +5.4960401931e+001, +0.0000000000e+000, +2.0866761908e+000, +0.0000000000e+000, +4.2719876699e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989014e+000, +0.0000000000e+000, -2.2425487796e-009, +3.0000000000e+003, +6.5066180382e+002, +4.9499999993e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+9.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989035e+000, +0.0000000000e+000, +5.4999999982e+001, +5.4960401929e+001, +0.0000000000e+000, +2.0866761946e+000, +0.0000000000e+000, +4.6308855677e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989057e+000, +0.0000000000e+000, -2.1074661234e-009, +3.0000000000e+003, +6.5066180382e+002, +5.4999999991e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
